Duration(s),SkillName,BagName,IsValid,FailReason,Operator,Size(MB),Station,Start_Time,SkillCode
171.13,Close bags with twist ties,SKILL_018_20260203_100135,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),c_becerra,6161.85,2,2026-02-03T10:01:35Z,SKILL_018
72.96,Close bags with twist ties,SKILL_018_20260203_092810,False,TOO_SHORT (73.0s < 90.0s) | BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,2684.97,2,2026-02-03T09:28:10Z,SKILL_018
232.56,Close bags with twist ties,SKILL_018_20260203_091825,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,8392.65,2,2026-02-03T09:18:25Z,SKILL_018
117.9,Set up a hand lamp,SKILL_013_20260203_075411,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,4303.11,2,2026-02-03T07:54:11Z,SKILL_013
105.67,Set up a hand lamp,SKILL_013_20260203_075645,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,3876.59,2,2026-02-03T07:56:45Z,SKILL_013
125.06,Set up a hand lamp,SKILL_013_20260203_075910,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,4575.22,2,2026-02-03T07:59:10Z,SKILL_013
726.35,Organize beads per color,SKILL_001_20260204_125558,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),d_vargas,26076.55,4,2026-02-04T12:55:58Z,SKILL_001
168.3,Close bags with twist ties,SKILL_018_20260203_092406,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,6196.49,2,2026-02-03T09:24:06Z,SKILL_018
121.66,Set up a hand lamp,SKILL_013_20260203_075112,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,4506.76,2,2026-02-03T07:51:13Z,SKILL_013
202.38,Put pasta in plastic containers,SKILL_019_20260204_143027,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),n_mora,7463.85,1,2026-02-04T14:30:27Z,SKILL_019
