Start_Time,Station,Operator,BagName,Duration(s),Size(MB),IsValid,SkillCode,SkillName,FailReason
2026-01-21T13:04:11Z,03,n_mora,SKILL_024_20260121_130411,208.41,1012.26,FALSE,SKILL_024,Put hooks on shower courtain,MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg
2026-01-21T13:11:03Z,03,n_mora,SKILL_024_20260121_131103,16.23,56.57,FALSE,SKILL_024,Put hooks on shower courtain,TOO_SHORT (14.1s < 90.0s) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | BAD_HZ /pika_pose_l (12.6/100.0) | MISSING_CRIT /camera_r/ffmpeg | BAD_HZ /gripper_r/data (98.0/120.0) | MISSING_CRIT /camera_l/depth/image_rect_raw
2026-01-21T09:05:31Z,03,n_mora,SKILL_013_20260121_090531,196.00,954.08,FALSE,SKILL_013,Set up a hand lamp,MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | BAD_HZ /pika_pose_l (0.0/100.0) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | BAD_HZ /pika_pose_r (0.0/100.0)
2026-01-21T07:42:28Z,04,d_vargas,SKILL_003_20260121_074228,327.10,1589.48,FALSE,SKILL_003,Organize screwdriver bits,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | BAD_HZ /pika_pose_r (0.0/100.0) | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | BAD_HZ /pika_pose_l (0.0/100.0) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw
2026-01-21T14:55:24Z,04,D_vargas,SKILL_004_20260121_145524,3.87,15.82,FALSE,SKILL_004,Set Screwdriver package,TOO_SHORT (3.3s < 90.0s) | BAD_HZ /gripper_r/data (100.1/120.0) | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | BAD_HZ /pika_pose_r (0.0/100.0) | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg
2026-01-21T14:55:23Z,04,D_vargas,SKILL_004_20260121_145523,1.28,4.78,FALSE,SKILL_004,Set Screwdriver package,TOO_SHORT (0.8s < 90.0s) | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg | BAD_HZ /gripper_r/data (99.9/120.0) | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | BAD_HZ /pika_pose_r (0.0/100.0)
2026-01-21T14:55:21Z,04,D_vargas,SKILL_004_20260121_145521,1.50,4.96,FALSE,SKILL_004,Set Screwdriver package,TOO_SHORT (1.0s < 90.0s) | MISSING_CRIT /camera_r/depth/image_rect_raw | BAD_HZ /pika_pose_l (48.5/100.0) | MISSING_CRIT /camera_r/ffmpeg | BAD_HZ /gripper_r/data (96.9/120.0) | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /gripper_l/data | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | BAD_HZ /pika_pose_r (0.0/100.0) | MISSING_CRIT /camera_l/ffmpeg
2026-01-21T14:55:18Z,04,D_vargas,SKILL_004_20260121_145518,2.95,12.07,FALSE,SKILL_004,Set Screwdriver package,TOO_SHORT (2.1s < 90.0s) | BAD_HZ /gripper_l/data (78.8/120.0) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | BAD_HZ /pika_pose_r (0.0/100.0) | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg | BAD_HZ /gripper_r/data (100.1/120.0) | MISSING_CRIT /camera_l/depth/image_rect_raw
2026-01-21T14:50:05Z,04,D_vargas,SKILL_004_20260121_145005,313.27,1476.36,FALSE,SKILL_004,Set Screwdriver package,BAD_HZ /pika_pose_r (21.4/100.0) | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg
2026-01-21T07:49:15Z,04,d_vargas,SKILL_003_20260121_074915,75.11,344.61,FALSE,SKILL_003,Organize screwdriver bits,TOO_SHORT (74.3s < 90.0s) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | BAD_HZ /pika_pose_r (0.0/100.0) | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | BAD_HZ /pika_pose_l (0.0/100.0)
