Duration(s),StartTime,Operator,IsValid,FailReason,Station,SkillName
125.041470747,2026-02-03T07:59:10.453Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Set up a hand lamp
232.820898182,2026-02-03T09:18:25.866Z,d_vargas,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Close bags with twist ties
168.280761029,2026-02-03T09:24:06.260Z,d_vargas,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Close bags with twist ties
72.956013945,2026-02-03T09:28:10.904Z,d_vargas,False,TOO_SHORT (73.0s < 90.0s) | BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Close bags with twist ties
171.114112581,2026-02-03T10:01:35.295Z,c_becerra,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Close bags with twist ties
282.568452673,2026-02-03T08:32:49.093Z,d_vargas,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Put pasta in plastic containers
306.578042703,2026-02-03T08:38:32.454Z,d_vargas,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Put pasta in plastic containers
3.92465193,2026-02-03T08:09:43.189Z,d_vargas,False,TOO_SHORT (3.9s < 90.0s) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Open locks with their keys
96.75864097,2026-02-03T08:10:22.381Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Open locks with their keys
109.839804974,2026-02-03T08:13:12.873Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Open locks with their keys
122.872456116,2026-02-03T08:16:23.032Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Open locks with their keys
84.458965388,2026-02-03T08:19:43.325Z,d_vargas,False,TOO_SHORT (84.5s < 90.0s) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Open locks with their keys
199.683984769,2026-02-04T14:16:04.811Z,n_mora,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),1,Put pasta in plastic containers
204.146592875,2026-02-04T14:22:22.560Z,n_mora,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_r (84.0/100.0),1,Put pasta in plastic containers
202.364409718,2026-02-04T14:30:27.845Z,n_mora,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),1,Put pasta in plastic containers
154.912656557,2026-02-04T14:52:56.238Z,n_mora,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),1,Put pasta in plastic containers
726.79361488,2026-02-04T12:55:58.712Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Organize beads per color
200.677401603,2026-02-04T13:10:41.299Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Organize screwdriver bits
228.25316697,2026-02-04T13:14:57.955Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Organize screwdriver bits
142.229259218,2026-02-04T10:28:01.943Z,l_aguilera,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Insert allen keys in package
121.537025068,2026-02-04T10:30:47.822Z,l_aguilera,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Insert allen keys in package
125.926999146,2026-02-04T10:33:11.488Z,l_aguilera,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Insert allen keys in package
161.992644648,2026-02-04T13:37:38.450Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Insert allen keys in package
183.298764596,2026-02-04T13:41:06.751Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Insert allen keys in package
90.52399501,2026-02-04T13:44:42.801Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Insert allen keys in package
44.442964298,2026-02-04T10:36:14.841Z,l_aguilera,False,TOO_SHORT (44.4s < 90.0s) | BAD_HZ /pika_pose_l (45.1/100.0) | BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Separate tongue depressors by color
37.291071543,2026-02-04T10:37:44.100Z,l_aguilera,False,TOO_SHORT (37.3s < 90.0s) | BAD_HZ /pika_pose_l (40.6/100.0) | BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_r (18.6/100.0),4,Separate tongue depressors by color
143.319449217,2026-02-04T10:40:57.119Z,l_aguilera,True,BAD_HZ /pika_pose_r (74.4/100.0) | BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Separate tongue depressors by color
176.944455357,2026-02-04T10:52:37.000Z,l_aguilera,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Separate tongue depressors by color
385.918324416,2026-02-04T10:59:42.824Z,n_mora,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Separate tongue depressors by color
393.52703586,2026-02-04T14:32:44.816Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Separate tongue depressors by color
248.124474336,2026-02-04T13:26:54.640Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Package Cotton set
233.157273387,2026-02-04T13:32:00.996Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Package Cotton set
331.807722232,2026-02-04T13:50:27.634Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Package earphones
319.293286871,2026-02-04T13:57:07.781Z,d_vargas,True,BAD_HZ /pika_pose_l (63.5/100.0) | BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Package earphones
111.231187172,2026-02-04T11:09:00.889Z,n_mora,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Set up a hand lamp
